result #	query	article title	article url	article description	Author	Date	total nr of results indicated by Google	Extra settings	
17	“big government” blogurl:blogportant.com/comcast-fcc-take-net-neutrality-dispute-to-court-ap	n/a	n/a	n/a			n/a		
18	“big government” blogurl:right-winglibertarian.blogspot.com/2010/01/so-what-exactly-is-net-neutrality.html	n/a	n/a	n/a			n/a		
19	“big government” blogurl:freedom-to-tinker.com/blog/jrmayer/search-neutrality-%E2%89%A0-net-neutrality	n/a	n/a	n/a			n/a		
20	“big government” blogurl:michaelgeist.ca/content/view/4668/125	n/a	n/a	n/a			n/a		
21	“big government” blogurl:benton.org/node/28370	n/a	n/a	n/a			n/a		
22	“big government” blogurl:pajamasmedia.com/instapundit/91254	n/a	n/a	n/a			n/a		
23	“big government” blogurl:pcmike.com/2010/01/08/court-to-fcc-you-have-no-power-to-enforce-net-neutrality-wired-news	n/a	n/a	n/a			n/a		
24	“big government” blogurl:thegng.org/forums/showthread.php?t=12916	n/a	n/a	n/a			n/a		
25	“big government” blogurl:thegng.org/forums/showthread.php?t=6736	n/a	n/a	n/a			n/a		
26	“big government” blogurl:smt-info.com/comcast-fcc-take-net-neutrality-dispute-to-court-ap.html	n/a	n/a	n/a			n/a		
27	“big government” blogurl:technews.am/conversations/cellular-news/comcast_fcc_take_net_neutrality_dispute_to_court	n/a	n/a	n/a			n/a		
28	“big government” blogurl:technews.am	salesforce.com: not as big in government as it wants you to think ...	http://technews.am/conversations/silicon-alley-insider/salesforce_com_not_as_big_in_government_as_it_wants_you_to_think	the us government launched its cloud computing website apps.gov this week. the site lists government-approved cloud computing applications and software-as-a-service products federal agencies can buy off the site...	n/a	19/09/2009	1		
29	“big government” blogurl:cod4boards.com/news/163261-court-fcc-you-don-t-have-power-enforce-net-neutrality.html	n/a	n/a	n/a			n/a		
30	“big government” blogurl:www2.webmasterradio.fm/webcology/2008/preserving-net-neutrality	n/a	n/a	n/a			n/a		
31	“big government” blogurl:news.cnet.com/8301-1035_3-10430009-94.html?part=rss&subj=news&tag=2547-1_3-0-20	n/a	n/a	n/a			n/a		
32	“big government” blogurl:topsy.com/tb/www.wired.com/threatlevel/2010/01/fcc-net-neutrality	n/a	n/a	n/a			n/a		
33	“big government” blogurl:shareconnector.com/court-to-fcc-you-don%E2%80%99t-have-power-to-enforce-net-neutrality	n/a	n/a	n/a			n/a		
34	“big government” blogurl:industry.bnet.com/technology/news-analysis/comcast-fcc-neutrality-court/25853	n/a	n/a	n/a			n/a		
35	“big government” blogurl:techdirt.com/articles/20100108/1315247679.shtml	n/a	n/a	n/a			n/a		
36	“big government” blogurl:digitaltrends.com/computing/net-neutrality-to-be-debated-at-ces-2010	n/a	n/a	n/a			n/a		
37	“big government” blogurl:biggovernment.com/2010/01/06/the-left-continues-to-break-more-cracks-in-net-neutrality-front	» The Left Continues to Break: More Cracks in Net Neutrality Front ...	http://biggovernment.com/2010/01/06/the-left-continues-to-break-more-cracks-in-net-neutrality-front/	FCC Chairman Genachowski, Commissioner Michael Copps, Diversity Czar Mark Lloyd, former Internet Czar Susan Crawford, Science and Technology Czar John Holdren, along with BO have all played key roles in promoting this Net Neutrality ...	Capitol Confidential  	06/01/2010	1		
38	“big government” blogurl:sciencenewsdaily.org/telecom-news/cluster30825320	n/a	n/a	n/a			n/a		
39	“big government” blogurl:reason.com/archives/2010/01/06/the-war-over-neutrality	n/a	n/a	n/a			n/a		
40	“big government” blogurl:lsolum.typepad.com/legaltheory/2009/12/speta-on-fcc-regulatory-jurisdiction-net-neutrality.html	n/a	n/a	n/a			n/a		
41	“new regulation” blogurl:chrismarsden.blogspot.com	wall st journal europe hugely biased piece on nn	http://chrismarsden.blogspot.com/2008/08/wall-st-journal-europe-hugely-biased.html	increased investment, not ill-considered new regulation, is the best and only option to bring the internet's wonders to all europeans." written by two lobbyists: mr. bolognini is chairman of the italian institute for privacy. ...	chris  	28/08/2008	1		
42	“new regulation” blogurl:freepress.net	fcc moves to place restrictions on cable tv	http://www.freepress.net/news/28025	the fcc is likely to impose a new regulation on the largely unregulated cable television industry. under a proposed rule, cable companies would have to slash the price they charge smaller television programmers to lease access on spare ...	n/a	11/11/2007	3		
43	“new regulation” blogurl:freepress.net	why network neutrality will be law in 2007	http://www.freepress.net/news/19466	one of the first technology controversies that the new democratic congress will address when it meets in february, 2007, will be net neutrality. legislators will support new regulation -- they tried in this congress, and they'll succeed ...	n/a	04/12/2006	3		
44	“new regulation” blogurl:freepress.net	reaction pours in over fcc's 70/70 retreat	http://www.freepress.net/news/28543	reaction was swift in response to the fcc's decision that it did not have the data to back up an assertion that cable had reached a market-power threshold that could trigger new regulation like program unbundling or ownership caps.	n/a	27/11/2007	3		
45	“new regulation” blogurl:savetheinternet.com/blog	Net Neutrality Is a Good Investment | Save the Internet	http://www.savetheinternet.com/blog/09/10/22/net-neutrality-good-investment	And in Broadcasting & Cable, telco hired guns Mike McCurry and Mark McKinnon ominously warned investment and the jobs “could be snuffed out by new regulation that chills the revenue streams to fund it.” Pretty scary stuff, to be sure. ...	Craig Aaron  	22/10/2009	3		
46	“new regulation” blogurl:savetheinternet.com/blog	Questions about Net Neutrality Opponents Still Can't Answer | Save ...	http://www.savetheinternet.com/blog/09/10/22/questions-about-net-neutrality-opponents-still-cant-answer	Open Internet supporters have long combated the false claims of companies like AT&T that Net Neutrality would result in harsh new regulation of the Internet. The truth is Net Neutrality — or nondiscrimination rules — has been part of ...	Adam Lynn  	22/10/2009	3		
47	“new regulation” blogurl:savetheinternet.com/blog	New Report Skewers Telco Spin on Competition	http://www.savetheinternet.com/blog/2006/09/12/new-report-skewers-telco-spin-on-competition/	“Net Neutrality legislation is heavy-handed new regulation.” [They ignore its history as one of the Internet's guiding regulatory principles, which has made the Web a dynamic engine for new ideas, innovation and free speech.] ...	tkarr  	12/09/2006	3		
48	“new regulation” blogurl:dig.csail.mit.edu/breadcrumbs/blog/4	n/a	n/a	n/a			n/a		
49	“new regulation” blogurl:internetevolution.com/author.asp?section_id=506&doc_id=134705	n/a	n/a	n/a			n/a		
50	“new regulation” blogurl:seminal.firedoglake.com/diary/22925	n/a	n/a	n/a			n/a		
51	“new regulation” blogurl:techdailydose.nationaljournal.com/2010/01/fcc-using-comcast-dispute-to-p.php	n/a	n/a	n/a			n/a		
52	“new regulation” blogurl:philly.com/philly/business/technology/20100108_ap_comcastfcctakenetneutralitydisputetocourt.html	n/a	n/a	n/a			n/a		
53	“new regulation” blogurl:mediacitizen.blogspot.com/2010/01/at-consultant-conjures-evidence-that.html	n/a	n/a	n/a			n/a		
54	“new regulation” blogurl:artsjournal.com/artsjournal1/2010/01/why_musicians_s.shtml	n/a	n/a	n/a			n/a		
55	“new regulation” blogurl:savetheinternet.com/blog/10/01/07/net-neutrality-and-why-it-important-women	n/a	n/a	n/a			n/a		
56	“new regulation” blogurl:ecommercetimes.com/rsstory/69063.html	n/a	n/a	n/a			n/a		
57	“new regulation” blogurl:radiosurvivor.com/2010/01/08/crossover-bands-hit-fcc-with-net-neutrality-letters	n/a	n/a	n/a			n/a		
58	“new regulation” blogurl:blogportant.com/comcast-fcc-take-net-neutrality-dispute-to-court-ap	n/a	n/a	n/a			n/a		
59	“new regulation” blogurl:right-winglibertarian.blogspot.com/2010/01/so-what-exactly-is-net-neutrality.html	n/a	n/a	n/a			n/a		
60	“new regulation” blogurl:freedom-to-tinker.com/blog/jrmayer/search-neutrality-%E2%89%A0-net-neutrality	n/a	n/a	n/a			n/a		
61	“new regulation” blogurl:michaelgeist.ca/content/view/4668/125	n/a	n/a	n/a			n/a		
62	“new regulation” blogurl:benton.org/node/28370	n/a	n/a	n/a			n/a		
63	“new regulation” blogurl:pajamasmedia.com/instapundit/91254	n/a	n/a	n/a			n/a		
64	“new regulation” blogurl:pcmike.com/2010/01/08/court-to-fcc-you-have-no-power-to-enforce-net-neutrality-wired-news	n/a	n/a	n/a			n/a		
65	“new regulation” blogurl:thegng.org/forums/showthread.php?t=12916	n/a	n/a	n/a			n/a		
66	“new regulation” blogurl:thegng.org/forums/showthread.php?t=6736	n/a	n/a	n/a			n/a		
67	“new regulation” blogurl:smt-info.com/comcast-fcc-take-net-neutrality-dispute-to-court-ap.html	n/a	n/a	n/a			n/a		
68	“new regulation” blogurl:technews.am/conversations/cellular-news/comcast_fcc_take_net_neutrality_dispute_to_court	n/a	n/a	n/a			n/a		
69	“new regulation” blogurl:technews.am	n/a	n/a	n/a			n/a		
70	“new regulation” blogurl:cod4boards.com/news/163261-court-fcc-you-don-t-have-power-enforce-net-neutrality.html	n/a	n/a	n/a			n/a		
71	“new regulation” blogurl:www2.webmasterradio.fm/webcology/2008/preserving-net-neutrality	n/a	n/a	n/a			n/a		
72	“new regulation” blogurl:news.cnet.com/8301-1035_3-10430009-94.html?part=rss&subj=news&tag=2547-1_3-0-20	n/a	n/a	n/a			n/a		
73	“new regulation” blogurl:topsy.com/tb/www.wired.com/threatlevel/2010/01/fcc-net-neutrality	n/a	n/a	n/a			n/a		
74	“new regulation” blogurl:shareconnector.com/court-to-fcc-you-don%E2%80%99t-have-power-to-enforce-net-neutrality	n/a	n/a	n/a			n/a		
75	“new regulation” blogurl:industry.bnet.com/technology/news-analysis/comcast-fcc-neutrality-court/25853	n/a	n/a	n/a			n/a		
76	“new regulation” blogurl:techdirt.com/articles/20100108/1315247679.shtml	n/a	n/a	n/a			n/a		
77	“new regulation” blogurl:digitaltrends.com/computing/net-neutrality-to-be-debated-at-ces-2010	n/a	n/a	n/a			n/a		
78	“new regulation” blogurl:biggovernment.com/2010/01/06/the-left-continues-to-break-more-cracks-in-net-neutrality-front	n/a	n/a	n/a			n/a		
79	“new regulation” blogurl:sciencenewsdaily.org/telecom-news/cluster30825320	n/a	n/a	n/a			n/a		
80	“new regulation” blogurl:reason.com/archives/2010/01/06/the-war-over-neutrality	n/a	n/a	n/a			n/a		
81	“new regulation” blogurl:lsolum.typepad.com/legaltheory/2009/12/speta-on-fcc-regulatory-jurisdiction-net-neutrality.html	n/a	n/a	n/a			n/a		
82	nationalization blogurl:chrismarsden.blogspot.com	n/a	n/a	n/a			n/a		
83	nationalization blogurl:freepress.net	chavez sets plans for nationalization	http://www.freepress.net/news/20206	venezuelan president hugo chávez on monday announced plans to nationalize the country's electrical and telecommunications companies.	n/a	07/01/2007	1		
84	nationalization blogurl:savetheinternet.com/blog	n/a	n/a	n/a			n/a		
85	nationalization blogurl:dig.csail.mit.edu/breadcrumbs/blog/4	n/a	n/a	n/a			n/a		
86	nationalization blogurl:internetevolution.com/author.asp?section_id=506&doc_id=134705	n/a	n/a	n/a			n/a		
87	nationalization blogurl:seminal.firedoglake.com/diary/22925	n/a	n/a	n/a			n/a		
88	nationalization blogurl:techdailydose.nationaljournal.com/2010/01/fcc-using-comcast-dispute-to-p.php	n/a	n/a	n/a			n/a		
89	nationalization blogurl:philly.com/philly/business/technology/20100108_ap_comcastfcctakenetneutralitydisputetocourt.html	n/a	n/a	n/a			n/a		
90	nationalization blogurl:mediacitizen.blogspot.com/2010/01/at-consultant-conjures-evidence-that.html	n/a	n/a	n/a			n/a		
91	nationalization blogurl:artsjournal.com/artsjournal1/2010/01/why_musicians_s.shtml	n/a	n/a	n/a			n/a		
92	nationalization blogurl:savetheinternet.com/blog/10/01/07/net-neutrality-and-why-it-important-women	n/a	n/a	n/a			n/a		
93	nationalization blogurl:ecommercetimes.com/rsstory/69063.html	n/a	n/a	n/a			n/a		
94	nationalization blogurl:radiosurvivor.com/2010/01/08/crossover-bands-hit-fcc-with-net-neutrality-letters	n/a	n/a	n/a			n/a		
95	nationalization blogurl:blogportant.com/comcast-fcc-take-net-neutrality-dispute-to-court-ap	n/a	n/a	n/a			n/a		
96	nationalization blogurl:right-winglibertarian.blogspot.com/2010/01/so-what-exactly-is-net-neutrality.html	n/a	n/a	n/a			n/a		
97	nationalization blogurl:freedom-to-tinker.com/blog/jrmayer/search-neutrality-%E2%89%A0-net-neutrality	n/a	n/a	n/a			n/a		
98	nationalization blogurl:michaelgeist.ca/content/view/4668/125	n/a	n/a	n/a			n/a		
99	nationalization blogurl:benton.org/node/28370	n/a	n/a	n/a			n/a		
100	nationalization blogurl:pajamasmedia.com/instapundit/91254	n/a	n/a	n/a			n/a		
101	nationalization blogurl:pcmike.com/2010/01/08/court-to-fcc-you-have-no-power-to-enforce-net-neutrality-wired-news	n/a	n/a	n/a			n/a		
102	nationalization blogurl:thegng.org/forums/showthread.php?t=12916	n/a	n/a	n/a			n/a		
103	nationalization blogurl:thegng.org/forums/showthread.php?t=6736	n/a	n/a	n/a			n/a		
104	nationalization blogurl:smt-info.com/comcast-fcc-take-net-neutrality-dispute-to-court-ap.html	n/a	n/a	n/a			n/a		
105	nationalization blogurl:technews.am/conversations/cellular-news/comcast_fcc_take_net_neutrality_dispute_to_court	n/a	n/a	n/a			n/a		
106	nationalization blogurl:technews.am	forget nationalization, bring back the uptick rule!... (alarmclock ...	http://technews.am/conversations/alarmclock/forget_nationalization_bring_back_the_uptick_rule_	like everyone else, the staff at tech:stocker is hearing the rumors that president obama is considering nationalizing bank of america (bac:nyse), citigroup (c:nyse) and any other financial institution that appears to be headed for life ...	n/a	18/02/2009	3		
107	nationalization blogurl:technews.am	save the banks but general motors belongs in the scrap heap – the ...	http://technews.am/conversations/alarmclock/save_the_banks_but_general_motors_belongs_in_the_scrap_heap_the_week_in_review	forget about nationalization of the banks? the staff at tech:stocker was happy to hear that president obama or fed chairman ben bernake had no intention of nationalizing the banks. we're behind them 100 percent. ...	n/a	01/03/2009	3		
108	nationalization blogurl:technews.am	obama says economics blogs arent reliable... (silicon alley ...	http://technews.am/conversations/silicon-alley-insider/obama_says_economics_blogs_arent_reliable	is the debate over bank nationalization and econ policy that occurs everyday in blogs getting listened to by the white house? nope. as far as obama sees it, the discussion on blogs is unimpressive when it comes to the economy:	n/a	07/03/2009	3		
109	nationalization blogurl:cod4boards.com/news/163261-court-fcc-you-don-t-have-power-enforce-net-neutrality.html	n/a	n/a	n/a			n/a		
110	nationalization blogurl:www2.webmasterradio.fm/webcology/2008/preserving-net-neutrality	n/a	n/a	n/a			n/a		
111	nationalization blogurl:news.cnet.com/8301-1035_3-10430009-94.html?part=rss&subj=news&tag=2547-1_3-0-20	n/a	n/a	n/a			n/a		
112	nationalization blogurl:topsy.com/tb/www.wired.com/threatlevel/2010/01/fcc-net-neutrality	n/a	n/a	n/a			n/a		
113	nationalization blogurl:shareconnector.com/court-to-fcc-you-don%E2%80%99t-have-power-to-enforce-net-neutrality	n/a	n/a	n/a			n/a		
114	nationalization blogurl:industry.bnet.com/technology/news-analysis/comcast-fcc-neutrality-court/25853	n/a	n/a	n/a			n/a		
115	nationalization blogurl:techdirt.com/articles/20100108/1315247679.shtml	n/a	n/a	n/a			n/a		
116	nationalization blogurl:digitaltrends.com/computing/net-neutrality-to-be-debated-at-ces-2010	n/a	n/a	n/a			n/a		
117	nationalization blogurl:biggovernment.com/2010/01/06/the-left-continues-to-break-more-cracks-in-net-neutrality-front	n/a	n/a	n/a			n/a		
118	nationalization blogurl:sciencenewsdaily.org/telecom-news/cluster30825320	n/a	n/a	n/a			n/a		
119	nationalization blogurl:reason.com/archives/2010/01/06/the-war-over-neutrality	n/a	n/a	n/a			n/a		
120	nationalization blogurl:lsolum.typepad.com/legaltheory/2009/12/speta-on-fcc-regulatory-jurisdiction-net-neutrality.html	n/a	n/a	n/a			n/a		
121	socialism blogurl:chrismarsden.blogspot.com	n/a	n/a	n/a			n/a		
122	socialism blogurl:freepress.net	essay on muni-fi falls through hole in time	http://www.freepress.net/news/25634	the notion that public-private muni-wireless partnerships are equivalent to "socialism" and granting a monopoly is misguided and displays confused thinking.	n/a	20/08/2007	1		
123	socialism blogurl:savetheinternet.com/blog	Comment on Telco Argument Implodes During DC Debate by Spam ...	http://www.savetheinternet.com/blog/2006/06/19/telco-argument-implodes-during-dc-debate/#comment-41212	[…] He also linked to Save the internet.com, a group of net neutrality people who are not opposed to pricing mechanisms. […]	n/a	01/02/2007	3		
124	socialism blogurl:savetheinternet.com/blog	Will 'Astroturf' Groups Block Net Neutrality Reform? | Save the ...	http://www.savetheinternet.com/blog/09/09/03/will-%E2%80%98astroturf%E2%80%99-groups-block-net-neutrality-reform	Scott Cleland, who heads the operation, has made it his job to bash Net Neutrality, even likening it to socialism: "Just like the Soviet socialists, the net neutrality movement blatantly misrepresents the facts." ...	Megan Tady  	03/09/2009	3		
125	socialism blogurl:savetheinternet.com/blog	Comment on AT&T's New Tune on Net Neutrality by barry payne-economist	http://www.savetheinternet.com/blog/2008/05/02/atts-new-tune-on-net-neutrality/#comment-106362	We're here to protect the right to eat from refrigerators for everyone and the socialism of network neutrality on the distribution grid stands in the way of this fundamental right.” The change was widely applauded as necessary to ...	barry payne-economist  	04/05/2008	3		
126	socialism blogurl:dig.csail.mit.edu/breadcrumbs/blog/4	n/a	n/a	n/a			n/a		
127	socialism blogurl:internetevolution.com/author.asp?section_id=506&doc_id=134705	n/a	n/a	n/a			n/a		
128	socialism blogurl:seminal.firedoglake.com/diary/22925	n/a	n/a	n/a			n/a		
129	socialism blogurl:techdailydose.nationaljournal.com/2010/01/fcc-using-comcast-dispute-to-p.php	n/a	n/a	n/a			n/a		
130	socialism blogurl:philly.com/philly/business/technology/20100108_ap_comcastfcctakenetneutralitydisputetocourt.html	n/a	n/a	n/a			n/a		
131	socialism blogurl:mediacitizen.blogspot.com/2010/01/at-consultant-conjures-evidence-that.html	n/a	n/a	n/a			n/a		
132	socialism blogurl:artsjournal.com/artsjournal1/2010/01/why_musicians_s.shtml	n/a	n/a	n/a			n/a		
133	socialism blogurl:savetheinternet.com/blog/10/01/07/net-neutrality-and-why-it-important-women	n/a	n/a	n/a			n/a		
134	socialism blogurl:ecommercetimes.com/rsstory/69063.html	n/a	n/a	n/a			n/a		
135	socialism blogurl:radiosurvivor.com/2010/01/08/crossover-bands-hit-fcc-with-net-neutrality-letters	n/a	n/a	n/a			n/a		
136	socialism blogurl:blogportant.com/comcast-fcc-take-net-neutrality-dispute-to-court-ap	n/a	n/a	n/a			n/a		
137	socialism blogurl:right-winglibertarian.blogspot.com/2010/01/so-what-exactly-is-net-neutrality.html	n/a	n/a	n/a			n/a		
138	socialism blogurl:freedom-to-tinker.com/blog/jrmayer/search-neutrality-%E2%89%A0-net-neutrality	n/a	n/a	n/a			n/a		
139	socialism blogurl:michaelgeist.ca/content/view/4668/125	n/a	n/a	n/a			n/a		
140	socialism blogurl:benton.org/node/28370	n/a	n/a	n/a			n/a		
141	socialism blogurl:pajamasmedia.com/instapundit/91254	n/a	n/a	n/a			n/a		
142	socialism blogurl:pcmike.com/2010/01/08/court-to-fcc-you-have-no-power-to-enforce-net-neutrality-wired-news	n/a	n/a	n/a			n/a		
143	socialism blogurl:thegng.org/forums/showthread.php?t=12916	n/a	n/a	n/a			n/a		
144	socialism blogurl:thegng.org/forums/showthread.php?t=6736	n/a	n/a	n/a			n/a		
145	socialism blogurl:smt-info.com/comcast-fcc-take-net-neutrality-dispute-to-court-ap.html	n/a	n/a	n/a			n/a		
146	socialism blogurl:technews.am/conversations/cellular-news/comcast_fcc_take_net_neutrality_dispute_to_court	n/a	n/a	n/a			n/a		
147	socialism blogurl:technews.am	conversation scmq13: social or socialism... (social media club ...	http://technews.am/conversations/social-media-club/conversation_scmq13_social_or_socialism	... of people who own the means of production work toward a common goal and share their products in common, when they contribute labor without wages and enjoy the fruits free of charge, it's not unreasonable to call that socialism. ...	n/a	12/06/2009	4		
148	socialism blogurl:technews.am	#smcq13 is social media the new socialism?... (social media club ...	http://technews.am/conversations/social-media-club/smcq13issocialmediathenewsocialism	“just like the ant-communist red scares of the early part of the century, republicans today are throwing about 'socialism' as the great 'blue scare,'” noted chris heuer, during the social media club editorial board's weekly discussion. ...	n/a	06/06/2009	4		
149	socialism blogurl:technews.am	free is not socialism... (techdirt / technews am)	http://technews.am/conversations/techdirt/free_is_not_socialism	... debating whether or not it's even worth going through this battle again -- but it seems worth it to clear up some serious misconceptions. the first article decries "digital socialism" and the second part goes after the.	n/a	26/11/2008	4		
150	socialism blogurl:technews.am	Apple approves a “Hitler Book” app with Nazi Symbol as its logo ...	http://technews.am/conversations/thenextweb/apple_approves_a_hitler_book_app_with_nazi_symbol_as_its_logo_how_did_no_one_catch_this_	The book titled Mein Kampf (Mi Lucha in Spanish) is a book written by Adolf Hitler, combining elements of his autobiography with an exposition of ideas of the political ideology of National Socialism. The most shocking feature of [. ...	n/a	06/11/2009	4		
151	socialism blogurl:cod4boards.com/news/163261-court-fcc-you-don-t-have-power-enforce-net-neutrality.html	n/a	n/a	n/a			n/a		
152	socialism blogurl:www2.webmasterradio.fm/webcology/2008/preserving-net-neutrality	n/a	n/a	n/a			n/a		
153	socialism blogurl:news.cnet.com/8301-1035_3-10430009-94.html?part=rss&subj=news&tag=2547-1_3-0-20	n/a	n/a	n/a			n/a		
154	socialism blogurl:topsy.com/tb/www.wired.com/threatlevel/2010/01/fcc-net-neutrality	n/a	n/a	n/a			n/a		
155	socialism blogurl:shareconnector.com/court-to-fcc-you-don%E2%80%99t-have-power-to-enforce-net-neutrality	n/a	n/a	n/a			n/a		
156	socialism blogurl:industry.bnet.com/technology/news-analysis/comcast-fcc-neutrality-court/25853	n/a	n/a	n/a			n/a		
157	socialism blogurl:techdirt.com/articles/20100108/1315247679.shtml	n/a	n/a	n/a			n/a		
158	socialism blogurl:digitaltrends.com/computing/net-neutrality-to-be-debated-at-ces-2010	n/a	n/a	n/a			n/a		
159	socialism blogurl:biggovernment.com/2010/01/06/the-left-continues-to-break-more-cracks-in-net-neutrality-front	» The Left Continues to Break: More Cracks in Net Neutrality Front ...	http://biggovernment.com/2010/01/06/the-left-continues-to-break-more-cracks-in-net-neutrality-front/	The only reason Europe can afford it's laissez faire socialism is because it hided behind America's might. Or used to. The one HUGE mistake all liberals make is they think they wil lonly have to give up 'a little'. ...	Capitol Confidential  	06/01/2010	1		
160	socialism blogurl:sciencenewsdaily.org/telecom-news/cluster30825320	n/a	n/a	n/a			n/a		
161	socialism blogurl:reason.com/archives/2010/01/06/the-war-over-neutrality	n/a	n/a	n/a			n/a		
162	socialism blogurl:lsolum.typepad.com/legaltheory/2009/12/speta-on-fcc-regulatory-jurisdiction-net-neutrality.html	n/a	n/a	n/a			n/a		
163	“quality of service” blogurl:chrismarsden.blogspot.com	Article 22, DIRECTIVE 2009/136/EC: Commission takes control of QoS	http://chrismarsden.blogspot.com/2009/12/article-22-universal-service-directive.html	NRAs may specify, inter alia, the quality of service parameters to be measured and the content, form and manner of the information to be published, including possible quality certification mechanisms, in order to ensure that ...	chris  	23/12/2009	8		
164	“quality of service” blogurl:chrismarsden.blogspot.com	Net neutrality in Europe: Reding declares her hand in favour of ...	http://chrismarsden.blogspot.com/2009/10/reding-declares-her-hand-in-favour-of.html	Where competitive forces alone are not enough to safeguard the openness of the Internet, national regulators will be able, under the reformed EU telecoms rules, to intervene in the market by settingminimum quality of service ...	chris  	07/10/2009	8		
165	“quality of service” blogurl:chrismarsden.blogspot.com	Internet pioneers for net neutrality?	http://chrismarsden.blogspot.com/2009/10/internet-pioneers-for-net-neutrality.html	One persistent myth is that "network neutrality" somehow requires that all packets be treated identically, that no prioritization or quality of service is permitted under such a framework, and that network neutrality would forbid ...	chris  	19/10/2009	8		
166	“quality of service” blogurl:chrismarsden.blogspot.com	net neutrality - article 22(3) usd	http://chrismarsden.blogspot.com/2008/12/net-neutrality-article-223-usd.html	national regulatory authorities may specify, inter alia, the quality of service parameters to be measured, and the content, form and manner of information to be published, including possible quality certification mechanisms, ...	chris  	03/12/2008	8		
167	“quality of service” blogurl:chrismarsden.blogspot.com	nazis against net neutrality	http://chrismarsden.blogspot.com/2009/09/nazis-against-net-neutrality.html	it's important to have some way to have some sort of quality of service," said george nazi, president, 21cn and global networks and computing infrastructure, bt, speaking wednesday on a panel of service providers at broadband world ...	chris  	10/09/2009	8		
168	“quality of service” blogurl:chrismarsden.blogspot.com	monica horten provides the new text on universal service	http://chrismarsden.blogspot.com/2009/04/monica-horten-provides-new-text-on.html	connection and, where appropriate, other quality of service parameters, as. defined by the national regulatory authorities,. - information on any procedures put in place by the provider in order to. measure and shape traffic so as to ...	chris  	01/04/2009	8		
169	“quality of service” blogurl:chrismarsden.blogspot.com	Net neutrality in Europe: Solutions to net neutrality-investment ...	http://chrismarsden.blogspot.com/2009/03/solutions-to-net-neutrality-investment.html	The answer to that is to stop deceptive advertising and enforce Quality of Service standards on ISPs, which Ofcom is still trying to avoid, preferring co-regulation and, soon to come - name and shame the worst performers. ...	chris  	12/03/2009	8		
